Title,Location,Year,Description,lat,long
Teaching Snowboarding,"Myoko, Japan",2023 - Present,You'll find me in the mountains of Japan in the winter months ripping pow and teaching boarding,37.0333,138.25
Teaching Snowboarding,"Christchurch, New Zealand",2023 - Present,You'll find me in the mountains of New Zealand in August ripping pow and teaching boarding,Ê-43.525650,172.639847
Navy Ship Manufacturing,"Glasgow, UK",2018-2019,"In Glasgow, I was on the management graduate program at BAE Systems, working on complex manufacturing problems",55.860916,-4.251433
Teaching Engineering,Rwanda,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business",-1.985,30.0318
Teaching Engineering,Uganda,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business",Ê0.34759,32.5825
Teaching Engineering,Tanzania,2015,"Supported the engineering training of engineers in Rwanda, Tanzania and Uganda while consulting for our family business",-6.776,39.1783
Learning French,"Tours, France",2016 - 2017,"Oui, je parle Francais!",47.2435,0.6892
Doing Data Science for the Red Cross,"Singapore, Singapore",2021 - 2025,Humanitarian data science is my passion,1.289,103.85
Studying at National University of Singapore,"Singapore, Singapore",,I was the Valedictorian during my Master of Science in Marketing Analytics & Insights,1.289,103.85
Studying at University of Cambridge,"Cambridge, UK",,I earned a Certificate of Higher Education in Business and Management,52.205276,0.119167
Studying at University of Manchester,"Manchester, UK",,"I got the Program Prize for Academic Excellence Master of Science in Operations, Project and Supply Chain Management",53.483959,-2.2446
Studying at University of Toronto,"Toronto, Canada",,"Studying Physics, Philosophy and Mathematics gave me my strong foundation in coding and data science",43.65107,-79.347015
Data Scientist at Dell Technologies,"Round Rock, USA",,"Overseeing the research and development of data science applications, from conceptual design to deployment, integrating algorithmic modeling, machine learning, and AI methods in R, Python, and SQL.",30.5083,-97.6789
Teaching Disaster Mitigation Strategies,"Jakarta, Indonesia",,I tought an in-person course on Natural Disaster Mitigation for Students and Humanitarian Professionals.,-6.2,106.81666
Researching Post-Conflict Supply Chains,"Beirut, Lebanon",,"In this study, we inspected the structure of agricultural supply chains in post-conflict Lebanon. Using qualitative interview data collected from local NGOs, we formulated a generalized humanitarian supply chain model adapted from commercial supply chain theory. The framework aims to enhance understanding of how post-conflict agricultural systems re-emerge and to inform the design of more resilient and effective humanitarian logistics interventions.",33.88863,35.49548
Home is where the heart is,"Manchester, UK",,"This is where I was brought up, on a strict diet of Greggs and Oasis",53.483959,-2.2446
The Motherland!,"Dublin, Ireland",,,53.35014,-6.26615